??	??	??	??????	??1?id	??2?id	??3?id	??1???	??2???	??3???	??????	??id	????	????????id	????????	unknown01	unknown02	??????	????	unknown03	????	unknown04	unknown05
23	??????	?????????????????*10?????*1	6	1931	818	0	10	1	0	100	1903	1	1904	1	10	11	0	150	0	3	0	0
24	??????	?????????????????*20??????*1???*10	11	1931	819	1811	20	1	10	0	1904	1	1904	1	15	16	0	250	0	3	0	0
25	??????	?????????????????*3??????*1	3	1931	817	0	3	1	0	100	1905	1	1906	1	10	11	0	150	0	3	0	0
26	????	???????????????*8?????*1????*3	5	1931	818	1810	8	1	3	0	1906	1	1906	1	10	11	0	150	0	3	0	0
27	??????	??????????????????*1??????*1	2	1932	817	0	1	1	0	100	1907	1	1908	1	2	3	0	10	0	3	0	0
28	????	????????????????*3?????*1???*1	5	1932	818	1811	3	1	1	0	1908	1	1908	1	10	11	0	150	0	3	0	0
29	??????	??????????????????*2??????*1	4	1932	817	0	2	1	0	100	1909	1	1910	1	8	9	0	110	0	3	0	0
30	????	????????????????*5?????*1????*3	6	1932	818	1810	5	1	3	0	1910	1	1910	1	15	16	0	250	0	3	0	0
31	???????	???????????????????*5?????*1	4	1932	818	0	5	1	0	100	1911	1	1912	1	10	11	0	150	0	3	0	0
32	???????	???????????????????*10??????*1???*10	7	1932	819	1811	10	1	10	0	1912	1	1912	1	15	16	0	250	0	3	0	0
33	??????	?????????????????*3??????*1	5	1933	817	0	3	1	0	100	1913	1	1914	1	10	11	0	150	0	3	0	0
34	????	???????????????*5?????*1???*5	8	1933	818	1811	5	1	5	0	1914	1	1914	1	15	16	0	250	0	3	0	0
35	??????	?????????????????*3??????*1	6	1933	817	0	3	1	0	100	1915	1	1916	1	10	11	0	150	0	3	0	0
36	????	???????????????*5?????*1???*5	10	1933	818	1811	5	1	5	0	1916	1	1916	1	15	16	0	250	0	3	0	0
37	?????	????????????????*5?????*1	5	1933	818	0	5	1	0	100	1917	1	1918	1	15	16	0	250	0	3	0	0
38	???	??????????????*10??????*1????*5	12	1933	819	1812	10	1	5	0	1918	1	1918	1	15	16	0	250	0	3	0	0
39	?????	????????????????*4??????*4	5	1933	817	0	4	4	0	100	1919	1	1920	1	15	16	0	250	0	3	0	1
40	???	??????????????*5?????*2????*6	8	1933	818	1810	5	2	6	0	1920	1	1920	1	15	16	0	250	0	3	0	1
41	?????	????????????????*10??????*1	10	1934	817	0	10	1	0	100	1921	1	1922	1	15	16	0	250	0	3	0	0
42	???	??????????????*15?????*1????*10	15	1934	818	1812	15	1	10	0	1922	1	1922	1	20	21	0	350	0	3	0	0
43	?????	????????????????*5??????*1	9	1934	817	0	5	1	0	100	1923	1	1924	1	10	11	0	150	0	3	0	0
44	???	??????????????*10?????*1????*10	14	1934	818	1812	10	1	10	0	1924	1	1924	1	25	26	0	450	0	3	0	0
45	??????	?????????????????*5??????*1	12	1935	817	0	5	1	0	100	1925	1	1926	1	15	16	0	250	0	3	0	1
46	????	???????????????*10?????*1????*10	16	1935	818	1812	10	1	10	0	1926	1	1926	1	25	26	0	450	0	3	0	1
47	??????	?????????????????*10??????*1	13	1935	817	0	10	1	0	100	1927	1	1928	1	20	21	0	350	0	3	0	0
48	????	???????????????*15?????*1????*10	17	1935	818	1812	15	1	10	0	1928	1	1928	1	25	26	0	450	0	3	0	1
49	?????	?????????????????*8??????*1	7	1932	817	0	8	1	0	100	1929	1	1930	1	3	4	0	30	0	3	0	0
50	???	??????????????*2?????*1????*2	12	1935	818	1812	2	1	2	0	1930	1	1930	1	10	11	0	250	0	3	0	1
51	???	??????????????*2????*1	1	801	809	0	2	1	0	100	1931	1	1932	1	1	2	0	5	0	3	0	0
52	????	???????????????*2????*2	2	802	809	0	2	2	0	100	1932	1	1933	1	2	3	0	10	0	3	0	0
53	???	??????????????*2????*2	5	803	810	0	2	2	0	100	1933	1	1934	1	3	4	0	15	0	3	0	0
54	???	??????????????*2????*4	8	804	810	0	2	4	0	100	1934	1	1935	1	3	4	0	15	0	3	0	0
55	???	??????????????*2????*4	12	805	820	0	2	4	0	0	1935	1	1935	1	4	5	0	20	0	3	0	0
56	??????	?????????????????*1????*1???*4	2	1810	806	814	1	1	4	100	1801	1	1802	1	4	5	0	80	0	2	0	0
57	??????	????????????????*1????*1???*4	5	1811	806	814	1	1	4	100	1802	1	1803	1	6	7	0	120	0	2	0	0
58	??????	?????????????????*2????*1???*5	8	1812	807	815	2	1	5	100	1803	1	1804	1	8	9	0	160	0	2	0	0
59	??????	?????????????????*4????*2????*5	12	1814	837	816	4	2	5	100	1804	1	1805	1	10	11	0	200	0	2	837	0
60	??????	?????????????????*2????*1????*6	18	1814	808	816	2	1	6	0	1805	1	1805	1	15	16	0	300	0	2	0	1
61	??????	?????????????????*2????*2	3	802	809	0	2	2	0	100	1806	1	1807	1	2	3	0	10	0	2	0	0
62	??????	?????????????????*2????*2	5	803	810	0	2	2	0	100	1807	1	1808	1	3	4	0	15	0	2	0	0
63	??????	?????????????????*1????*1????*1	6	1931	809	1810	1	1	1	100	1808	1	1809	1	3	4	0	15	0	2	0	0
64	??????	??????????????????*1????*1???*1	10	1932	810	1811	1	1	1	100	1809	1	1819	1	3	4	0	20	0	2	0	0
65	???	??????????????*2???*2	1	801	811	0	2	2	0	100	1810	1	1811	1	1	2	0	5	0	2	0	0
66	??	?????????????*2???*4	4	802	811	0	2	4	0	100	1811	1	1812	1	2	3	0	10	0	2	0	0
67	???	??????????????*2???*2	7	803	812	0	2	2	0	100	1812	1	1813	1	3	4	0	15	0	2	0	0
68	???	??????????????*5???*4	9	804	812	0	5	4	0	100	1813	1	1814	1	4	5	0	20	0	2	0	0
69	???	??????????????*5????*4	11	805	813	0	5	4	0	0	1814	1	1814	1	4	5	0	20	0	2	0	0
70	??????	?????????????????*1????*1	1	802	809	0	1	1	0	100	1815	1	1806	1	1	2	0	5	0	2	0	0
71	??????	?????????????????*3??????*1	2	1931	817	0	3	1	0	100	1936	1	1903	1	3	4	0	60	0	3	0	0
72	???	??????????????*1???*1	5	1217	716	0	1	1	0	1000	1227	1	1227	2	3	4	0	2	0	1	0	1
73	???	??????????????*1?????*1	6	1209	714	0	1	1	0	1000	1228	1	1228	2	3	4	0	50	0	1	0	1
74	???	???????????????*2???*3	10	705	739	0	2	3	0	1000	1229	1	1229	2	4	5	100	80	0	1	0	1
75	???	????????????????*2???*5	12	707	741	0	2	5	0	1000	1230	1	1230	2	4	5	100	80	0	1	0	1
76	??	??????????????*1???*1	8	705	730	0	1	1	0	1000	1218	1	1218	2	3	4	200	9	0	1	0	0
77	???	???????????????*1???*1	11	705	737	0	1	1	0	1000	1232	1	1232	2	4	5	200	12	0	1	0	0
78	???	?????????????*1???*1	14	709	734	0	1	1	0	1000	1233	1	1233	2	5	6	200	15	0	1	0	1
79	?????	?????????????????*1???*1	17	705	739	0	1	1	0	1000	1234	1	1234	2	6	7	200	18	0	1	0	1
80	???	????????????????*1???*1	9	707	735	0	1	1	0	1000	1235	1	1235	2	3	4	200	9	0	1	0	0
81	???	????????????????*1???*1	13	707	738	0	1	1	0	1000	1236	1	1236	2	5	6	200	15	0	1	0	0
82	???	????????????????*1???*1	15	707	732	0	1	1	0	1000	1237	1	1237	2	5	6	200	15	0	1	0	1
83	???	????????????????*1???*1	18	707	740	0	1	1	0	1000	1238	1	1238	2	6	7	200	18	0	1	0	1
84	??????	??10????????????*5???*5??????*1	4	709	716	1816	5	5	1	1000	1217	10	1217	13	10	11	150	20	0	1	0	0
85	??????	??10????????????*5???*5??????*1	6	709	716	1816	5	5	1	1000	1231	10	1231	13	10	11	150	40	0	1	0	0
86	?????	??10?????????????*5???*5??????*1	10	705	730	1817	5	5	1	1000	1218	10	1218	13	12	13	150	55	0	1	0	0
87	??????	??10??????????????*5???*5??????*1	13	705	737	1817	5	5	1	1000	1232	10	1232	13	15	16	150	75	0	1	0	0
88	??????	??10????????????*5???*5??????*1	16	709	734	1818	5	5	1	1000	1233	10	1233	13	20	21	150	90	0	1	0	0
89	????????	??10????????????????*5???*5??????*1	19	705	739	1818	5	5	1	1000	1234	10	1234	13	25	26	150	105	0	1	0	1
90	??????	??10???????????????*5???*5??????*1	5	710	716	1937	5	5	1	1000	1219	10	1219	13	10	11	150	40	0	1	0	0
91	???????	??10????????????????*5???*5??????*1	8	710	716	1937	5	5	1	1000	1220	10	1220	13	10	11	150	40	0	1	0	0
92	??????	??10???????????????*5???*5??????*1	12	707	735	1938	5	5	1	1000	1235	10	1235	13	12	13	150	55	0	1	0	0
93	??????	??10???????????????*5???*5??????*1	15	707	738	1938	5	5	1	1000	1236	10	1236	13	12	13	150	55	0	1	0	0
94	??????	??10???????????????*5???*5??????*1	17	707	732	1939	5	5	1	1000	1237	10	1237	13	25	26	150	105	0	1	0	0
95	??????	??10???????????????*5???*5??????*1	20	707	740	1939	5	5	1	1000	1238	10	1238	13	25	26	150	105	0	1	0	1
96	?????	????????????????*1???*1	2	801	811	0	1	1	0	100	1816	1	1816	2	2	3	0	10	0	2	0	0
97	?????	????????????????*1???*1	7	803	811	0	1	1	0	100	1817	1	1817	2	3	4	0	15	0	2	0	0
98	?????	????????????????*1???*1	11	804	811	0	1	1	0	0	1818	1	1818	2	4	5	0	20	0	2	0	1
99	?????	????????????????*1???*1	3	801	811	0	1	1	0	100	1937	1	1937	2	2	3	0	10	0	3	0	0
100	?????	????????????????*1???*1	6	803	811	0	1	1	0	100	1938	1	1938	2	3	4	0	15	0	3	0	0
101	?????	????????????????*1???*1	11	804	811	0	1	1	0	0	1939	1	1939	2	4	5	0	20	0	3	0	1
102	??????	?????????????????*2????*1	1	1931	1810	0	2	1	0	100	1940	1	1941	1	5	6	0	50	0	3	0	0
103	??????	??????????????????*2????*1	3	1932	1810	0	2	1	0	100	1941	1	1942	1	5	6	0	50	0	3	0	0
104	??????	?????????????????*2???*1	7	1933	1811	0	2	1	0	100	1942	1	1943	1	5	6	0	50	0	3	0	0
105	??????	?????????????????*2???*1	9	1934	1811	0	2	1	0	100	1943	1	1944	1	10	11	0	100	0	3	0	0
106	??????	?????????????????*2????*1	12	1935	1812	0	2	1	0	100	1944	1	1945	1	10	11	0	100	0	3	0	0
107	??????	?????????????????*3????*1	15	1935	1812	0	3	1	0	100	1945	1	1947	1	15	16	0	150	0	3	0	0
108	?????	?????????????????*5??????*1???*2	4	1932	817	1811	5	1	2	0	1946	1	0	0	5	6	0	100	0	3	0	0
109	???????	????????????????????*1??????*1???????*1	0	1027	1052	1077	1	1	1	0	1142	1	0	0	1	1	0	100	0	0	0	1
110	???????	?????????????????*4????*1????*1	0	716	1	7	4	1	1	0	1143	1	0	0	1	1	0	100	0	0	0	1
111	?????	???????????????*1??????*1???*5	0	300	712	716	1	1	5	0	1145	1	0	0	1	1	0	100	0	0	0	1
112	??????	?????????????????*1???????*1?????*2	0	171	1002	818	1	1	2	0	1146	1	0	0	1	1	0	100	0	0	0	1
113	???-6?	?????-6??????????*100????-3?*100	1	821	2233	0	100	100	0	0	2236	1	2236	1	25	25	0	500	0	4	0	0
114	???-6?	?????-6??????????*100????-3?*100	2	821	2213	0	100	100	0	0	2216	1	2216	1	45	45	0	500	0	4	0	0
115	???-6?	?????-6??????????*100????-3?*100	3	821	2223	0	100	100	0	0	2226	1	2226	1	60	60	0	500	0	4	0	0
116	???-6?	?????-6??????????*100????-3?*100	4	821	2203	0	100	100	0	0	2206	1	2206	1	70	70	0	500	0	4	0	0
117	???-7?	?????-7??????????*100????-3?*100	5	822	2233	0	100	100	0	0	2237	1	2237	1	90	90	0	600	0	4	0	0
118	???-7?	?????-7??????????*100????-3?*100	6	822	2213	0	100	100	0	0	2217	1	2217	1	110	110	0	600	0	4	0	0
119	???-7?	?????-7??????????*100????-3?*100	7	822	2223	0	100	100	0	0	2227	1	2227	1	130	130	0	600	0	4	0	0
120	???-7?	?????-7??????????*100????-3?*100	8	822	2203	0	100	100	0	0	2207	1	2207	1	150	150	0	600	0	4	0	0
121	???-8?	?????-8??????????*100????-3?*100????*1	9	823	2233	2027	100	100	1	0	2238	1	2238	1	160	160	0	700	0	4	0	0
122	???-8?	?????-8??????????*100????-3?*100????*1	10	823	2213	2027	100	100	1	0	2218	1	2218	1	180	180	0	700	0	4	0	0
123	???-8?	?????-8??????????*100????-3?*100????*1	11	823	2223	2027	100	100	1	0	2228	1	2228	1	200	200	0	700	0	4	0	0
124	???-8?	?????-8??????????*100????-3?*100????*1	12	823	2203	2027	100	100	1	0	2208	1	2208	1	230	230	0	700	0	4	0	0
125	???-9?	?????-9??????????*100????-3?*100?????*1	13	824	2233	2036	100	100	1	0	2239	1	2239	1	250	250	0	800	0	4	0	0
126	???-9?	?????-9??????????*100????-3?*100?????*1	14	824	2213	2036	100	100	1	0	2219	1	2219	1	270	270	0	800	0	4	0	0
127	???-9?	?????-9??????????*100????-3?*100?????*1	15	824	2223	2036	100	100	1	0	2229	1	2229	1	300	300	0	800	0	4	0	0
128	???-9?	?????-9??????????*100????-3?*100?????*1	16	824	2203	2036	100	100	1	0	2209	1	2209	1	320	320	0	800	0	4	0	0
129	??????	?????????????????*3????*1	11	1935	1812	0	3	1	0	100	1945	1	1947	1	4	5	0	150	0	4	0	0
130	???	??????????????*20??????*20	1	825	819	0	20	20	0	0	1951	1	1951	1	10	10	0	250	0	4	0	0
131	?????	????????????????*20??????*20	3	825	819	0	20	20	0	0	1952	1	1952	1	30	30	0	300	0	4	0	0
132	???	??????????????*20??????*20	2	825	819	0	20	20	0	0	1953	1	1953	1	20	20	0	250	0	4	0	0
133	?????	????????????????*20??????*20	4	825	819	0	20	20	0	0	1954	1	1954	1	40	40	0	300	0	4	0	0
134	???	??????????????*20??????*20	5	826	819	0	20	20	0	0	1955	1	1955	1	50	50	0	250	0	4	0	0
135	?????	????????????????*20??????*20	7	826	819	0	20	20	0	0	1956	1	1956	1	65	65	0	300	0	4	0	0
136	???	??????????????*20??????*20	6	826	819	0	20	20	0	0	1957	1	1957	1	60	60	0	250	0	4	0	0
137	?????	????????????????*20??????*20	8	826	819	0	20	20	0	0	1958	1	1958	1	70	70	0	300	0	4	0	0
138	???	??????????????*25??????*20????*5	10	827	819	1106	25	20	5	0	1959	1	1959	1	75	75	0	300	0	4	0	0
139	?????	????????????????*25??????*20????*5	13	827	819	1106	25	20	5	0	1960	1	1960	1	85	85	0	350	0	4	0	0
140	???	??????????????*25??????*20????*5	12	828	819	1109	25	20	5	0	1961	1	1961	1	75	75	0	300	0	4	0	0
141	?????	????????????????*25??????*20????*5	14	828	819	1109	25	20	5	0	1962	1	1962	1	90	90	0	350	0	4	0	0
142	?????	???????????????*40????*1	10	833	171	0	40	1	0	0	1963	1	1963	1	10	11	0	50	0	5	0	0
143	?????	???????????????*5????*1	1	829	171	0	5	1	0	100	1251	1	1251	2	1	2	50	10	0	5	0	0
144	?????	???????????????*5????*1	1	829	171	0	5	1	0	100	1252	1	1252	2	1	2	50	10	0	5	0	0
145	?????	???????????????*5????*1	1	829	171	0	5	1	0	100	1253	1	1253	2	1	2	50	10	0	5	0	0
146	?????	???????????????*5????*1	3	830	171	0	5	1	0	100	1254	1	1254	2	2	3	50	20	0	5	0	0
147	?????	???????????????*5????*1	3	830	171	0	5	1	0	100	1255	1	1255	2	2	3	50	20	0	5	0	0
148	?????	???????????????*5????*1	3	830	171	0	5	1	0	100	1256	1	1256	2	2	3	50	20	0	5	0	0
149	?????	????????????????*10????*1	5	831	171	0	10	1	0	100	1257	1	1257	2	4	5	50	30	0	5	0	0
150	?????	????????????????*10????*1	5	831	171	0	10	1	0	100	1258	1	1258	2	4	5	50	30	0	5	0	0
151	?????	????????????????*10????*1	5	831	171	0	10	1	0	100	1259	1	1259	2	4	5	50	30	0	5	0	0
152	?????	???????????????*10????*1	10	832	171	0	10	1	0	100	1260	1	1260	2	8	9	50	30	0	5	0	0
153	??????	????????????????*10????*1	6	832	171	0	10	1	0	100	1261	1	1261	2	6	7	50	35	0	5	0	0
154	??????	????????????????*10????*1	8	832	171	0	10	1	0	100	1262	1	1262	2	6	7	50	35	0	5	0	0
155	??????	????????????????*10????*1	8	832	171	0	10	1	0	100	1263	1	1263	2	6	7	50	35	0	5	0	0
156	???????	?????????????????*10????*1	7	832	171	0	10	1	0	100	1264	1	1264	2	6	7	50	35	0	5	0	0
157	?????	???????????????*10????*1	9	832	171	0	10	1	0	100	1265	1	1265	2	7	8	50	35	0	5	0	0
158	???????	?????????????????*10????*1????*1	7	833	171	1107	10	1	1	100	1266	1	1266	2	6	7	50	40	0	5	0	0
159	???????	?????????????????*40????*1????*1	15	833	171	1107	40	1	1	100	1267	1	1267	2	12	13	50	100	0	5	0	0
160	???????	???????????????????*10????*1????*1	11	834	171	1107	10	1	1	100	1268	1	1268	2	9	10	50	50	0	5	0	0
161	???	???????????????*10????*1????*1	13	835	171	1108	10	1	1	100	1269	1	1269	2	10	11	50	50	0	5	0	0
162	?????	?????????????????*10????*1	12	834	184	0	10	1	0	0	1270	1	1270	1	10	11	50	200	0	0	0	1
163	???	??????????????*2????*4	10	805	820	0	2	4	0	0	1935	1	1935	1	4	5	0	20	0	4	0	0
164	???-4?	?????-4??????????*25????-3?*25	1	821	2233	0	25	25	0	0	2234	1	2234	1	20	20	0	300	0	4	0	0
165	???-4?	?????-4??????????*25????-3?*25	1	821	2213	0	25	25	0	0	2214	1	2214	1	20	20	0	300	0	4	0	0
166	???-4?	?????-4??????????*25????-3?*25	1	821	2223	0	25	25	0	0	2224	1	2224	1	20	20	0	300	0	4	0	0
167	???-4?	?????-4??????????*25????-3?*25	1	821	2203	0	25	25	0	0	2204	1	2204	1	20	20	0	300	0	4	0	0
168	???-5?	?????-5??????????*80????-3?*80	1	821	2233	0	80	80	0	0	2235	1	2235	1	20	20	0	400	0	4	0	0
169	???-5?	?????-5??????????*80????-3?*80	1	821	2213	0	80	80	0	0	2215	1	2215	1	20	20	0	400	0	4	0	0
170	???-5?	?????-5??????????*80????-3?*80	1	821	2223	0	80	80	0	0	2225	1	2225	1	20	20	0	400	0	4	0	0
171	???-5?	?????-5??????????*80????-3?*80	1	821	2203	0	80	80	0	0	2205	1	2205	1	20	20	0	400	0	4	0	0
172	??????	?????????????????*3????*3????*3	2	1217	1219	1201	3	3	3	1000	3009	1	3009	2	10	11	0	10	0	1	0	0
173	??????	??????????????????*2????*5?????*2	5	1203	1231	1207	2	5	2	1000	3010	1	3010	2	20	21	0	30	0	1	0	0
174	??????	????????????????*7?????*4??????*4	10	1218	1213	1215	7	4	4	1000	3011	1	3011	2	30	31	0	100	0	1	0	0
175	??????	?????????????????*1????*1????*1	12	1813	820	1812	1	1	1	0	1819	1	1819	1	5	6	0	25	0	2	0	0
176	???	??????????????*4????*4	12	1935	1934	0	4	4	0	0	836	1	836	1	5	6	0	30	0	3	0	0
177	??????	?????????????????*1????*1	14	836	837	0	1	1	0	0	1947	1	1947	1	8	9	0	250	0	4	837	0
178	????	???????????????*1?????*20?????*20	0	2294	1204	1208	1	20	20	0	2157	1	2158	1	1	1	0	180	0	0	0	0
179	??????	??3????????????????*1?????*1?????*1	0	2295	1204	1208	1	1	1	200	2157	3	2158	1	1	1	0	180	0	0	0	0
180	????	???????????????*1?????*20?????*20	0	2294	1204	1208	1	20	20	0	2159	1	2160	1	1	1	0	180	0	0	0	0
181	??????	??3????????????????*1?????*1?????*1	0	2295	1204	1208	1	1	1	200	2159	3	2160	1	1	1	0	180	0	0	0	0
182	????	???????????????*1?????*20?????*20	0	2294	1204	1208	1	20	20	0	2161	1	2162	1	1	1	0	180	0	0	0	0
183	??????	??3????????????????*1?????*1?????*1	0	2295	1204	1208	1	1	1	200	2161	3	2162	1	1	1	0	180	0	0	0	0
184	????	???????????????*1?????*20?????*20	0	2294	1204	1208	1	20	20	0	2163	1	2164	1	1	1	0	180	0	0	0	0
185	??????	??3????????????????*1?????*1?????*1	0	2295	1204	1208	1	1	1	200	2163	3	2164	1	1	1	0	180	0	0	0	0
186	????	???????????????*1?????*20?????*20	0	2294	1204	1208	1	20	20	0	2165	1	2166	1	1	1	0	180	0	0	0	0
187	??????	??3????????????????*1?????*1?????*1	0	2295	1204	1208	1	1	1	200	2165	3	2166	1	1	1	0	180	0	0	0	0
188	????	???????????????*1?????*20?????*20	0	2294	1204	1208	1	20	20	0	2167	1	2168	1	1	1	0	180	0	0	0	0
189	??????	??3????????????????*1?????*1?????*1	0	2295	1204	1208	1	1	1	200	2167	3	2168	1	1	1	0	180	0	0	0	0
190	?????	???????????????*1?????*1	0	2170	2173	0	1	1	0	0	2174	1	2175	1	1	1	0	180	0	0	0	0
191	??	?????????????*3????*3????*3	0	1813	1214	822	3	3	3	0	678	1	678	1	1	1	0	200	0	0	0	1
192	??	????????????*4???????*1???????*1	0	1216	1915	1261	4	1	1	0	679	1	679	1	1	1	0	200	0	0	0	1
193	????	??????????????*2???*8????*1	0	678	679	677	2	8	1	1000	672	1	667	1	1	1	0	1000	1	0	677	1
194	????	??????????????*5???*5????*1	0	678	679	677	5	5	1	1000	673	1	668	1	1	1	0	1000	1	0	677	1
195	????	??????????????*5???*5????*1	0	678	679	677	5	5	1	1000	674	1	669	1	1	1	0	1000	1	0	677	1
196	????	??????????????*5???*5????*1	0	678	679	677	5	5	1	1000	675	1	670	1	1	1	0	1000	1	0	677	1
197	????	??????????????*5???*5????*1	0	678	679	677	5	5	1	1000	676	1	671	1	1	1	0	1000	1	0	677	1
198	???	??????????????*3????*1	0	2186	2189	0	3	1	0	100	2187	1	2188	1	1	1	0	200	1	0	2189	1
199	???	??????????????*1??????*2	14	1231	712	0	1	2	0	1000	1233	1	1233	2	5	6	0	15	0	1	0	0
200	?????	????????????????*1??????*2	17	1232	712	0	1	2	0	1000	1234	1	1234	2	6	7	0	18	0	1	0	0
201	???	??????????????*1???*4	15	1235	716	0	1	4	0	1000	1237	1	1237	2	5	6	0	15	0	1	0	0
202	???	??????????????*1???*4	18	1236	716	0	1	4	0	1000	1238	1	1238	2	6	7	0	18	0	1	0	0
203	???	??????????????*1???*1	18	838	718	0	1	1	0	0	67	1	67	1	10	10	0	50	0	1	838	0
204	???????	??????????????????*6????????*15	15	839	1902	0	6	15	0	0	1964	1	1964	1	30	30	0	500	0	3	839	0
205	?????	????????????????*70?????*8	18	839	1928	0	70	8	0	0	1965	1	1965	1	50	50	0	800	0	3	839	0
206	?????	????????????????*70????*100	18	839	1922	0	70	100	0	0	1966	1	1966	1	50	50	0	800	0	3	839	0
207	??????	?????????????????*3???????*1	12	839	1904	0	3	1	0	0	1968	1	1968	1	20	20	0	300	0	3	839	0
208	??????	?????????????????*1?????*1	12	839	1908	0	1	1	0	0	1969	1	1969	1	20	20	0	300	0	3	839	0
209	???????	??????????????????*6????????*15	15	839	1912	0	6	15	0	0	1970	1	1970	1	30	30	0	500	0	3	839	0
210	??????	?????????????????*1?????*1	12	839	1906	0	1	1	0	0	1971	1	1971	1	20	20	0	300	0	3	839	0
211	??????	?????????????????*3?????*2	12	839	1910	0	3	2	0	0	1972	1	1972	1	20	20	0	300	0	3	839	0
212	??????	?????????????????*5?????*100	15	839	1914	0	5	100	0	0	1973	1	1973	1	30	30	0	500	0	3	839	0
213	??????	?????????????????*5?????*80	15	839	1916	0	5	80	0	0	1974	1	1974	1	30	30	0	500	0	3	839	0
214	?????	????????????????*5????*60	15	839	1918	0	5	60	0	0	1975	1	1975	1	30	30	0	500	0	3	839	0
215	??????	????????????????*10???????*5	15	840	1804	0	10	5	0	0	1805	1	1805	1	25	25	0	250	0	2	840	0
216	????	??????????????????*2???????*1	14	1809	1819	0	2	1	0	0	69	1	69	1	15	15	0	30	0	2	0	0
217	??????	????????????????*1????*1	5	840	1814	0	1	1	0	0	1820	1	1820	1	5	5	0	20	0	2	840	0
218	???	??????????????*1????*5	5	1813	1814	0	1	5	0	0	2393	1	2393	1	5	5	0	15	0	2	0	0
219	??????	??????????????????*1????????*1	2	841	1014	0	1	1	0	0	1005	1	1005	1	2	2	0	20	0	5	841	0
220	??????	??????????????????*1???????*2	4	841	1005	0	1	2	0	0	1012	1	1012	1	5	5	0	50	0	5	841	0
221	??????	??????????????????*3???????*1	6	841	1006	0	3	1	0	0	1013	1	1013	1	10	10	0	100	0	5	841	0
222	???????	???????????????????*3???????*2	8	841	1013	0	3	2	0	0	1007	1	1007	1	20	20	0	200	0	5	841	0
223	???????	???????????????????*40????????*5	12	841	1008	0	40	5	0	0	1009	1	1009	1	50	50	0	400	0	5	841	0
224	???????	???????????????????*60????????*4	14	841	1009	0	60	4	0	0	1010	1	1010	1	100	100	0	600	0	5	841	0
225	???????	???????????????????*80????????*4	16	841	1010	0	80	4	0	0	1011	1	1011	1	200	200	0	800	0	5	841	0
226	??????	??????????????????*1???????*1	2	841	1035	0	1	1	0	0	1028	1	1028	1	2	2	0	20	0	5	841	0
227	??????	??????????????????*1???????*2	4	841	1028	0	1	2	0	0	1031	1	1031	1	5	5	0	50	0	5	841	0
228	???????	???????????????????*3???????*1	6	841	1039	0	3	1	0	0	1038	1	1038	1	10	10	0	100	0	5	841	0
